system:index,green_area_m2,year,.geo
2001_01_01,2.1127492291625515E12,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_01_01,2.1104974722861792E12,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_01,2.1087840302947866E12,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
2004_01_01,2.1127076881693962E12,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005_01_01,2.11594816416429E12,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_01_01,2.1163550249386772E12,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_01_01,2.118388464631481E12,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_01_01,2.1226885318430535E12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
2009_01_01,2.1336882825021992E12,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_01,2.1404711215535264E12,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_01,2.134941111101524E12,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01,2.120771245265542E12,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_01_01,2.1050277748213694E12,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_01_01,2.0813333012630835E12,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_01_01,2.0722063504031194E12,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_01_01,2.0688269271296658E12,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_01_01,2.041299920980589E12,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_01_01,2.0591304620059705E12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_01,2.074839723793102E12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_01,2.0815922150865474E12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
