system:index,mean_albedo,month,season,year,.geo
2001_01_01,346.88280471879773,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_02,345.76945557511084,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_03,345.44453905226794,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_04,345.06914170587334,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_05,358.7691109255068,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_06,347.3250472731555,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_07,335.5025936573493,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_08,345.1982474345333,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_09,342.6549379817933,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_10,366.43795887871755,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_11,367.58141934606635,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_12,382.4881805943075,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_13,392.45472035385336,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_14,399.25288083400017,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_15,379.41631656364973,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_16,386.61921004268135,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_17,378.1864294989498,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_18,377.026881019748,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_19,366.97714813686076,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_20,369.33999988998454,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_21,371.4453529354674,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_22,370.9258925069649,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_23,373.04213850375874,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_24,373.0376992064749,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_25,373.2365396973334,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_26,368.51602851823463,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_27,368.1483632390341,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_28,368.04578875761285,1,snow,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
